dataset,model,method,n_features,accuracy,f1_score,auc,train_time
ibtracs.last3years,logistic_regression,baseline,63,0.9765893470790378,0.8180300500834724,0.9900824584443745,0.03724312782287598
ibtracs.last3years,random_forest,baseline,63,0.9804553264604811,0.8226120857699805,0.9910663618528788,0.2374711036682129
ibtracs.last3years,xgboost,baseline,63,0.9798109965635738,0.8199233716475096,0.9939314578581284,0.18065595626831055
